epoch,lr-AdamW,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.0005,0,,,,,,
0,,49,,,0.703125,0.7328414916992188,,
0,,99,,,0.8203125,0.4881095290184021,,
0,,149,,,0.796875,0.5299684405326843,,
0,,199,,,0.765625,0.557711124420166,,
0,,249,,,0.8203125,0.4298830032348633,,
0,,299,,,0.796875,0.5363763570785522,,
0,,349,,,0.8046875,0.46962442994117737,,
0,,399,,,0.8359375,0.44084179401397705,,
0,,429,,,,,0.8468000292778015,0.40645256638526917
,0.0005,430,,,,,,
1,,449,,,0.8046875,0.4578830301761627,,
1,,499,,,0.859375,0.2923930883407593,,
1,,549,,,0.890625,0.3061138391494751,,
1,,599,,,0.828125,0.38514938950538635,,
1,,649,,,0.875,0.3263152539730072,,
1,,699,,,0.8671875,0.34516221284866333,,
1,,749,,,0.8828125,0.3224369287490845,,
1,,799,,,0.859375,0.4184774160385132,,
1,,849,,,0.84375,0.4235514998435974,,
1,,859,,,,,0.8776000142097473,0.32768040895462036
,0.0005,860,,,,,,
2,,899,,,0.890625,0.3726326823234558,,
2,,949,,,0.8671875,0.3343881368637085,,
2,,999,,,0.859375,0.2981613576412201,,
2,,1049,,,0.8671875,0.3852617144584656,,
2,,1099,,,0.8828125,0.3140139579772949,,
2,,1149,,,0.8671875,0.4008978307247162,,
2,,1199,,,0.875,0.28002187609672546,,
2,,1249,,,0.84375,0.3938509225845337,,
2,,1289,,,,,0.8944000005722046,0.28281065821647644
,0.0005,1290,,,,,,
3,,1299,,,0.859375,0.3251134753227234,,
3,,1349,,,0.8671875,0.3522639870643616,,
3,,1399,,,0.90625,0.28168195486068726,,
3,,1449,,,0.9375,0.1668216735124588,,
3,,1499,,,0.859375,0.3308551013469696,,
3,,1549,,,0.9296875,0.17444489896297455,,
3,,1599,,,0.9453125,0.18069611489772797,,
3,,1649,,,0.8828125,0.2787811756134033,,
3,,1699,,,0.8515625,0.43246790766716003,,
3,,1719,,,,,0.8949999809265137,0.27806052565574646
,0.0005,1720,,,,,,
4,,1749,,,0.921875,0.21704529225826263,,
4,,1799,,,0.890625,0.24585062265396118,,
4,,1849,,,0.8828125,0.32475441694259644,,
4,,1899,,,0.90625,0.24330759048461914,,
4,,1949,,,0.8828125,0.308421790599823,,
4,,1999,,,0.84375,0.41030073165893555,,
4,,2049,,,0.84375,0.36576271057128906,,
4,,2099,,,0.90625,0.24295978248119354,,
4,,2149,,,0.9090909361839294,0.28709936141967773,,
4,,2149,,,,,0.8920000195503235,0.2892497181892395
,0.0005,2150,,,,,,
5,,2199,,,0.9453125,0.1494361013174057,,
5,,2249,,,0.90625,0.2856907844543457,,
5,,2299,,,0.90625,0.23893561959266663,,
5,,2349,,,0.9140625,0.37302789092063904,,
5,,2399,,,0.90625,0.22499816119670868,,
5,,2449,,,0.921875,0.27862468361854553,,
5,,2499,,,0.84375,0.3922560214996338,,
5,,2549,,,0.8984375,0.2892053723335266,,
5,,2579,,,,,0.9085999727249146,0.24968117475509644
,0.0005,2580,,,,,,
6,,2599,,,0.8671875,0.39860841631889343,,
6,,2649,,,0.9375,0.180051788687706,,
6,,2699,,,0.9296875,0.23625454306602478,,
6,,2749,,,0.953125,0.20135162770748138,,
6,,2799,,,0.90625,0.31218385696411133,,
6,,2849,,,0.8984375,0.2721559405326843,,
6,,2899,,,0.875,0.32841622829437256,,
6,,2949,,,0.921875,0.19693665206432343,,
6,,2999,,,0.859375,0.342726469039917,,
6,,3009,,,,,0.9115999937057495,0.2454373985528946
,0.0005,3010,,,,,,
7,,3049,,,0.8828125,0.26416105031967163,,
7,,3099,,,0.90625,0.24231967329978943,,
7,,3149,,,0.921875,0.21636831760406494,,
7,,3199,,,0.9140625,0.23946507275104523,,
7,,3249,,,0.9375,0.15539690852165222,,
7,,3299,,,0.890625,0.2778807580471039,,
7,,3349,,,0.9375,0.15088018774986267,,
7,,3399,,,0.8984375,0.3072086572647095,,
7,,3439,,,,,0.920799970626831,0.2289295196533203
,0.0005,3440,,,,,,
8,,3449,,,0.8515625,0.3219721019268036,,
8,,3499,,,0.8984375,0.33010727167129517,,
8,,3549,,,0.8828125,0.27768343687057495,,
8,,3599,,,0.921875,0.19416184723377228,,
8,,3649,,,0.921875,0.185184508562088,,
8,,3699,,,0.921875,0.2234264314174652,,
8,,3749,,,0.9375,0.16937384009361267,,
8,,3799,,,0.8984375,0.22343631088733673,,
8,,3849,,,0.9140625,0.20361840724945068,,
8,,3869,,,,,0.91839998960495,0.22381845116615295
,0.0005,3870,,,,,,
