epoch,lr-Adam,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
,0.0005,0,,,,,,
0,,49,,,0.734375,0.6644207239151001,,
0,,99,,,0.7890625,0.546625018119812,,
0,,149,,,0.8125,0.4903770089149475,,
0,,199,,,0.796875,0.5768619775772095,,
0,,249,,,0.796875,0.5111323595046997,,
0,,299,,,0.78125,0.5335769653320312,,
0,,349,,,0.796875,0.5267984867095947,,
0,,399,,,0.84375,0.4636193811893463,,
0,,429,,,,,0.8155999779701233,0.4989871680736542
,0.0005,430,,,,,,
1,,449,,,0.90625,0.33201366662979126,,
1,,499,,,0.8828125,0.3180615305900574,,
1,,549,,,0.765625,0.5918265581130981,,
1,,599,,,0.8515625,0.35766857862472534,,
1,,649,,,0.8984375,0.31467634439468384,,
1,,699,,,0.84375,0.37536829710006714,,
1,,749,,,0.8671875,0.3973245322704315,,
1,,799,,,0.84375,0.42449700832366943,,
1,,849,,,0.8984375,0.3141801655292511,,
1,,859,,,,,0.8809999823570251,0.3150026798248291
,0.0005,860,,,,,,
2,,899,,,0.890625,0.35006773471832275,,
2,,949,,,0.921875,0.21907827258110046,,
2,,999,,,0.921875,0.2576521933078766,,
2,,1049,,,0.890625,0.29032230377197266,,
2,,1099,,,0.8515625,0.3627742528915405,,
2,,1149,,,0.8671875,0.31952834129333496,,
2,,1199,,,0.8828125,0.3061753809452057,,
2,,1249,,,0.90625,0.28423571586608887,,
2,,1289,,,,,0.8907999992370605,0.29372021555900574
,0.0005,1290,,,,,,
3,,1299,,,0.921875,0.26590976119041443,,
3,,1349,,,0.859375,0.37959814071655273,,
3,,1399,,,0.9296875,0.22660252451896667,,
3,,1449,,,0.875,0.36040616035461426,,
3,,1499,,,0.8984375,0.2490086704492569,,
3,,1549,,,0.8125,0.5228251814842224,,
3,,1599,,,0.875,0.3279607892036438,,
3,,1649,,,0.875,0.3863004148006439,,
3,,1699,,,0.921875,0.30864858627319336,,
3,,1719,,,,,0.9017999768257141,0.27052879333496094
,0.0005,1720,,,,,,
4,,1749,,,0.890625,0.26134729385375977,,
4,,1799,,,0.90625,0.29519230127334595,,
4,,1849,,,0.8984375,0.30166709423065186,,
4,,1899,,,0.9140625,0.27394959330558777,,
4,,1949,,,0.9296875,0.19864127039909363,,
4,,1999,,,0.859375,0.3814990520477295,,
4,,2049,,,0.8671875,0.2925792932510376,,
4,,2099,,,0.921875,0.1943192481994629,,
4,,2149,,,0.8522727489471436,0.3718518316745758,,
4,,2149,,,,,0.907800018787384,0.24910558760166168
,0.0005,2150,,,,,,
5,,2199,,,0.9140625,0.26647961139678955,,
5,,2249,,,0.8828125,0.28804031014442444,,
5,,2299,,,0.8984375,0.28400102257728577,,
5,,2349,,,0.8828125,0.34710636734962463,,
